"Emp ID","Name","DOB","SSN","State"
"214","Sarah Simpson","04/12/1985","***-**-8166","Florida"
"15","Samantha Lara","08/09/1993","***-**-7526","Colorado"
"411","Stacy Charles","20/12/1957","***-**-8526","Pennsylvania"
"166","Michelle Roy","29/07/1978","***-**-3944","Michigan"
"39","Joseph Rogers","28/03/1985","***-**-3515","Minnesota"
"423","Erica Hines","13/10/1975","***-**-6153","New York"
"192","Zoe Patel","20/12/1967","***-**-0817","Wisconsin"
"162","Matthew Harvey","20/01/1990","***-**-0346","Tennessee"
"131","Shawn Davis","21/07/1961","***-**-1581","West Virginia"
"20","April Baldwin","07/08/1961","***-**-2014","Missouri"
"246","Vincent Daniels","06/01/1972","***-**-2754","Montana"
"525","Ann Fields","22/08/1960","***-**-7911","Iowa"
"392","Jeffrey Pearson","05/05/1979","***-**-2578","Illinois"
"474","Heather Johnson","23/09/1989","***-**-0904","Georgia"
"478","Melissa Fletcher","14/03/1979","***-**-6881","Rhode Island"
"101","Kimberly Alvarez","04/09/1984","***-**-8680","Louisiana"
"52","Monica Jimenez","08/04/1988","***-**-1668","North Dakota"
"182","Steven Johnson","28/05/1962","***-**-7070","Nebraska"
"637","Sarah Wood","15/06/1972","***-**-6715","Florida"
"510","Jesus Petersen","28/03/1958","***-**-0770","Oklahoma"
"122","Rhonda Rosales","10/04/1963","***-**-0286","Alabama"
"294","Nicole Richardson","09/09/1981","***-**-5228","Louisiana"
"327","Jennifer Mendez","20/07/1977","***-**-1994","Oregon"
"145","Sandra Petty","30/01/1981","***-**-7629","North Carolina"
"565","Michael Hester","13/04/1987","***-**-6836","South Dakota"
"590","Joseph Brown","28/08/1982","***-**-4744","New Hampshire"
"340","Michelle Cooper","23/08/1993","***-**-2306","Washington"
"176","Barbara Wise","15/12/1991","***-**-7662","Indiana"
"63","Carol Rosales","20/07/1984","***-**-4907","New Jersey"
"121","Mark Villa","24/02/1969","***-**-2207","Mississippi"
"70","Russell Orozco","16/09/1973","***-**-5514","Mississippi"
"446","Michelle Sanchez","21/08/1994","***-**-5222","Oklahoma"
"156","Briana Ayala","31/10/1965","***-**-4542","Connecticut"
"343","Shane Roberts","14/12/1958","***-**-6030","Hawaii"
"599","Cassandra Morris","24/01/1973","***-**-3831","Montana"
"102","Krista Thompson","25/07/1984","***-**-7445","Kentucky"
"377","Jon Bennett","13/09/1957","***-**-1689","New Mexico"
"240","April Thomas","03/12/1993","***-**-3580","Colorado"
"455","Haley Martinez","15/01/1968","***-**-3736","Idaho"
"503","Isaac Stafford","25/11/1989","***-**-5036","South Dakota"
"269","John Martinez","06/01/1987","***-**-3936","New Hampshire"
"219","John Phillips","08/12/1982","***-**-4070","West Virginia"
"301","Gary Shelton","11/09/1978","***-**-9672","South Dakota"
"84","Amanda Gordon","12/10/1969","***-**-2966","Maine"
"588","Jessica Holt","12/09/1963","***-**-6084","Nebraska"
"540","Stephanie Estes","15/07/1966","***-**-9779","South Dakota"
"329","Jessica Brown","01/02/1992","***-**-7328","Mississippi"
"74","Donna Manning","19/05/1973","***-**-7781","New Mexico"
"29","Nicholas Owens","20/08/1991","***-**-7882","Virginia"
"92","Wendy Ryan","13/05/1960","***-**-0741","Arizona"
"489","Kimberly Hooper","08/09/1971","***-**-3136","Georgia"
"561","Deborah Gonzalez","28/05/1975","***-**-0643","Montana"
"44","Laura Yoder","18/04/1987","***-**-3016","Indiana"
"138","Kimberly Velez","07/03/1958","***-**-0707","Arizona"
"623","Kevin Garcia","15/05/1973","***-**-4337","Oklahoma"
"173","Marcia Jones","20/11/1972","***-**-0963","North Dakota"
"148","Nicole Baldwin","11/08/1978","***-**-5508","Nevada"
"184","Katherine Juarez","13/02/1986","***-**-8687","California"
"228","Paula Thompson","22/09/1985","***-**-7734","North Carolina"
"117","Joan Hoover","27/02/1973","***-**-5429","New Mexico"
"544","Stephen Simon","28/11/1962","***-**-1621","Nevada"
"116","Rebecca Taylor","30/09/1962","***-**-9126","Minnesota"
"622","Lindsay Owens","28/04/1973","***-**-6742","Delaware"
"376","Justin Payne","03/07/1983","***-**-7892","Alaska"
"100","Michelle Thornton","25/01/1961","***-**-4112","Georgia"
"222","Timothy Hill","11/08/1985","***-**-4460","South Carolina"
"506","Karen Johnson","05/01/1976","***-**-5174","Ohio"
"59","Alexis Mcintosh","01/03/1962","***-**-9185","Kentucky"
"456","Susan Fitzgerald","18/09/1961","***-**-3222","Alabama"
"389","Amber Stewart","26/08/1958","***-**-3120","Ohio"
"236","Taylor Evans","17/07/1983","***-**-2641","New Jersey"
"78","Tracy Knight","27/09/1993","***-**-8339","Idaho"
"253","Jason Parks","27/02/1981","***-**-2601","Arizona"
"67","Jonathan Carroll","15/06/1973","***-**-7126","South Carolina"
"642","Sara Wallace","21/06/1959","***-**-6918","Mississippi"
"279","Jeffrey Mitchell","23/05/1969","***-**-4559","Utah"
"41","April West","11/03/1986","***-**-9544","Delaware"
"30","Ryan Reynolds","05/02/1973","***-**-2883","Indiana"
